FID,YEAR_,DISTRICT,COSITE,ROADWAY,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,TruckAADT,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,DESC_FRM,DESC_TO,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
68,2025,5,702065,70220058,1400,S,F,F,W,2,209,0,0.241,9.5,0,99.9,14.9,389.3241,I-95 NB,I-95 NB,70,Brevard,5,389.324079265584
69,2025,7,145029,14050000,18900,C,F,F,F,F,1871,4.425,4.936,9,0,55.7,9.9,822.2007,C AVE,5 AVE,14,Pasco,7,822.200650311316
70,2025,7,149059,14000087,44000,C,F,F,F,F,3168,0,9.005,9,0,55.7,7.2,14502.8037,KING HELIE BLVD,US-19/SR-55,14,Pasco,7,14502.8036955246
71,2025,1,014454,01000523,10300,T,F,F,F,F,5253,0,0.6,9,0,53.1,51,953.8321,BACHMANN BLVD,HILLSBOROUGH BLVD,01,Charlotte,1,953.832142934557
72,2025,6,876465,87260325,28500,F,F,F,W,1,1197,0,0.725,8,0,99.9,4.2,1168.6431,SR-826 / SB,SR-826 / SB,87,Miami-Dade,6,1168.64313438415
73,2025,5,700436,70225000,34500,S,F,F,F,2,8763,29.798,31.19,10.5,0,53.4,25.4,2239.1317,Bridge No-700102,VOLUSIA CO LINE,70,Brevard,5,2239.13166527665
74,2025,2,390100,39010000,6500,C,F,F,F,A,800,0,4.372,9.5,0,52.3,12.3,7035.2852,BRADFORD CO LINE,N LAKE AVE,39,Union,2,7035.28519607127
75,2025,5,705080,70030000,8900,F,F,F,W,1,498,4.084,4.472,9,0,99.9,5.6,624.3399,SR-406/GARDEN ST,US-1/SR-5 SB,70,Brevard,5,624.339943482687
76,2025,1,014401,01000010,1950,S,F,F,F,2,308,0,0.465,9,0,53.1,15.8,760.0987,FAIRWAY DR S,SR 35/US 17 NB,01,Charlotte,1,760.098745369518
77,2025,5,778032,77000200,10000,T,F,F,F,F,1000,0,1.604,9,0,53.3,10,2585.5821,WYMORE RD,SR-436,77,Seminole,5,2585.58209516174
78,2025,2,370058,37040000,6400,C,F,F,F,F,301,27.36,32.407,9.5,0,56.1,4.7,8119.7154,N/A,HAMILTON CO LINE,37,Suwannee,2,8119.71541565114
79,2025,7,977453,14470053,2400,C,F,F,W,F,293,0,0.459,9.5,0,99.9,12.2,735.529,SR 589 SB,RIDGE RD,14,Pasco,8,735.528951480893
80,2025,7,149048,14000157,2400,X,F,F,F,F,173,0,1.807,9,0,55.7,7.2,2908.4355,LAND O LAKES BLVD,BLUE MIST PKWY,14,Pasco,7,2908.43549874002
81,2025,7,025001,02010000,26700,E,F,F,F,F,2510,11.685,12.215,9,0,52.8,9.4,852.2629,N/A,N/A,02,Citrus,7,852.262870501934
82,2025,5,702071,70225104,1800,T,F,F,W,F,99,0,0.354,9.5,0,99.9,5.5,569.5858,I-95/SR-9,I-95/SR-9,70,Brevard,5,569.585829400659
83,2025,5,700437,70140000,23000,F,F,F,F,F,1127,3.869,5.368,9,0,54.8,4.9,2411.4642,SMITH RD,HALL RD,70,Brevard,5,2411.46420029273
84,2025,7,149039,14000060,18000,C,F,F,F,F,1296,0,2.265,9,0,55.7,7.2,3650.8369,SR-52,HUDSON AVE,14,Pasco,7,3650.8369325092
85,2025,1,014449,01000176,5600,X,F,F,F,F,532,0,2.083,9,0,53.1,9.5,3349.2061,COCHRAN BLVD,YORKSHIRE ST,01,Charlotte,1,3349.20609926813
86,2025,5,702010,70220131,9100,S,F,F,W,2,837,0,0.347,9,0,99.9,9.2,558.9717,I-95 SB,US-192,70,Brevard,5,558.971688444641
87,2025,2,385016,38030000,4300,C,F,F,F,F,404,0.75,1.647,9,0,55.6,9.4,1444.3614,N/A,SPRING HILL RD,38,Taylor,2,1444.3614215187
88,2025,5,705160,70010000,22000,S,F,F,F,2,1364,13.923,15.249,9,0,54.8,6.2,2133.5482,CR-516/PALM BAY RD,CONLAN BLVD,70,Brevard,5,2133.54821875697
89,2025,7,145304,14030000,82500,C,F,F,F,A,6270,0.626,2.511,9,0,55.7,7.6,3032.4199,CONTINENTAL DR,MOOG RD,14,Pasco,7,3032.41988885197
90,2025,7,145116,14090000,30000,C,F,F,F,F,1470,11.635,11.912,9,0,55.7,4.9,445.7546,CR-577/CURLEY RD,N/A,14,Pasco,7,445.754579882556
91,2025,7,159005,15000017,17000,E,F,F,F,F,1190,0,2.011,9,0,54.3,7,3242.8667,PALM HARBOR BLVD,US-19/SR-55,15,Pinellas,7,3242.866713846
92,2025,1,010019,01010000,24000,C,F,F,F,A,3048,0,2.339,9.5,0,53.3,12.7,3761.986,LEE CO  LINE,ZEMEL RD,01,Charlotte,1,3761.98598060914
93,2025,6,876269,87260329,11500,C,F,F,W,A,265,0,0.622,8,0,99.9,2.3,1001.7259,SR-826/PALMETTO,NW 154 ST/MIAMI LAKE,87,Miami-Dade,6,1001.72590491437
94,2025,5,700366,70225000,88000,C,F,F,F,F,10736,0,1.13,9,0,53.4,12.2,1817.6546,END OF BR 700127,Bridge No-700054,70,Brevard,5,1817.6545966748
