FID,ROADWAY,FUNCLASS,BEGIN_POST,END_POST,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
8681,93680000,16,0.947,1.135,302.6796,4,93,Palm Beach,4,302.679624517999
8682,30580000,07,0,0.732,1176.4196,2,30,Dixie,2,1176.41956869589
8683,10000718,17,0,0.756,1223.4647,7,10,Hillsborough,7,1223.46469566367
8684,87000158,19,0,0.051,83.7657,6,87,Miami-Dade,6,83.7656654027167
8685,16000304,17,0,1.139,1833.0079,1,16,Polk,1,1833.00788093163
8686,31520000,07,6.826,10.24,5493.6358,2,31,Gilchrist,2,5493.63578981169
8687,29900018,09,0,4.077,6553.29,2,29,Columbia,2,6553.28998982117
8688,10000740,18,0,0.61,976.4594,7,10,Hillsborough,7,976.4594043607
8689,12000233,17,0,1.074,1728.6759,1,12,Lee,1,1728.6758535364
8690,16261000,14,0,1.994,3200.337,1,16,Polk,1,3200.336977385
8691,87000201,17,0,0.455,739.9027,6,87,Miami-Dade,6,739.902693194397
8692,12007500,16,0,2.912,4689.1545,1,12,Lee,1,4689.15448655138
8693,16011000,17,1.964,4.684,4368.1938,1,16,Polk,1,4368.19379111294
8694,29520002,19,0.106,0.214,174.3254,2,29,Columbia,2,174.325369778899
8695,86000052,18,0.991,2.6,2589.2921,4,86,Broward,4,2589.29208836404
8696,87000100,17,0,2.564,4134.604,6,87,Miami-Dade,6,4134.60398788041
8697,86000022,17,0,2.716,4388.0683,4,86,Broward,4,4388.06830328959
8698,93720001,16,0,1.006,1613.33,4,93,Palm Beach,4,1613.33002056391
8699,30900003,09,0,1.294,2082.4947,2,30,Dixie,2,2082.494745119
8700,87000159,17,0,0.497,791.8088,6,87,Miami-Dade,6,791.808750710632
8701,16000317,19,0,0.77,1239.9717,1,16,Polk,1,1239.97174641882
8702,31501000,08,0,8.079,13001.9143,2,31,Gilchrist,2,13001.9143253688
8703,29900021,09,0,0.375,593.4055,2,29,Columbia,2,593.405490999739
8704,10000776,18,0,0.509,814.0715,7,10,Hillsborough,7,814.071532016258
8705,12000241,18,0,5.366,8635.3397,1,12,Lee,1,8635.33974533736
8706,16280000,16,0.38,6.278,9488.2553,1,16,Polk,1,9488.25532169829
8707,87000091,17,0,2.327,3749.0142,6,87,Miami-Dade,6,3749.01420201691
8708,93900008,19,0,0.51,819.9935,4,93,Palm Beach,4,819.99349397045
8709,93595000,09,0,5.28,8493.8947,4,93,Palm Beach,4,8493.89465025144
8710,93558000,17,0,2.077,3333.8706,4,93,Palm Beach,4,3333.87061415791
8711,16110000,14,15.373,19.864,7224.5601,1,16,Polk,1,7224.56006379759
8712,29900012,19,0,0.285,461.8154,2,29,Columbia,2,461.815423670475
8713,57150000,06,0.313,4.313,6438.8414,3,57,Okaloosa,3,6438.84140030901
8714,12000561,17,0,1.5,2370.6289,1,12,Lee,1,2370.62890767952
8715,79580001,17,0,0.093,144.8325,5,79,Volusia,5,144.832489122939
8716,12000223,17,0,3.614,5797.5219,1,12,Lee,1,5797.52193913795
8717,16119000,16,8.506,10.488,3192.8391,1,16,Polk,1,3192.8391499958
8718,12075000,01,32.029,34.138,3393.9551,1,12,Lee,1,3393.95513513831
8719,87000269,16,0,2.544,4080.7429,6,87,Miami-Dade,6,4080.74287082749
8720,93541000,17,0,5.232,8403.5093,4,93,Palm Beach,4,8403.50927529935
8721,16090000,17,17.527,34.88,27926.5175,1,16,Polk,1,27926.5174889231
8722,29580000,17,0,1.792,2884.6123,2,29,Columbia,2,2884.61226948222
8723,86000079,17,0,0.452,727.6741,4,86,Broward,4,727.674086888548
8724,57040001,16,0,0.51,821.3207,3,57,Okaloosa,3,821.320664679531
8725,16000914,17,0,2.2,3565.3438,1,16,Polk,1,3565.34376977229
8726,60040000,04,0.023,14.695,23658.6965,3,60,Walton,3,23658.6965017969
8727,86000038,16,0,0.569,929.6223,4,86,Broward,4,929.622271588292
8728,12017000,14,0,2.33,3749.0078,1,12,Lee,1,3749.00776598059
8729,12000539,17,1.543,2.852,2109.8795,1,12,Lee,1,2109.87948676244
8730,87000234,17,0,2.884,4649.4633,6,87,Miami-Dade,6,4649.46331367322
8731,12005000,14,1.171,6.46,8510.8588,1,12,Lee,1,8510.85879648528
8732,10000785,18,0,0.383,625.1901,7,10,Hillsborough,7,625.190144530097
8733,29520000,19,5.288,6.006,1152.8081,2,29,Columbia,2,1152.80805428204
8734,16320000,11,12.352,15.649,5302.4929,1,16,Polk,1,5302.49287708812
8735,87000088,19,0,0.156,251.3592,6,87,Miami-Dade,6,251.359165239779
8736,93900017,19,0,3.078,4945.8716,4,93,Palm Beach,4,4945.87156345603
8737,93599000,18,0,0.305,507.1886,4,93,Palm Beach,4,507.188622592372
8738,93584000,17,0,1.084,1745.5754,4,93,Palm Beach,4,1745.57538664689
8739,10000714,17,0,0.193,312.9229,7,10,Hillsborough,7,312.922914339337
8740,87000136,17,0,2,3218.5341,6,87,Miami-Dade,6,3218.5340928559
8741,16000341,17,0,0.147,222.5155,1,16,Polk,1,222.515489973531
8742,31507000,09,0,1.76,2831.6037,2,31,Gilchrist,2,2831.60371239779
8743,29900022,09,0,0.583,936.6031,2,29,Columbia,2,936.603120198298
8744,10000782,18,0,0.562,895.4859,7,10,Hillsborough,7,895.48589808471
8745,12000255,18,0,5.977,7258.3734,1,12,Lee,1,7258.37341297452
8746,16210000,17,0,0.382,615.207,1,16,Polk,1,615.207004292378
8747,87000198,17,0.34,1.33,1592.9594,6,87,Miami-Dade,6,1592.95944723511
8748,86000089,17,0,2.1,3398.4195,4,86,Broward,4,3398.41951801056
8749,87000254,19,0,1.165,1863.411,6,87,Miami-Dade,6,1863.41098231391
8750,93572000,17,0,2.036,3267.9262,4,93,Palm Beach,4,3267.92618765795
8751,16100001,14,0,0.912,1471.0337,1,16,Polk,1,1471.03373828148
8752,87000111,19,0,1.098,1766.4922,6,87,Miami-Dade,6,1766.49219460191
8753,16000303,17,0,1,1625.037,1,16,Polk,1,1625.03697222211
8754,86000090,19,0,0.977,1568.4923,4,86,Broward,4,1568.49228419101
8755,57100500,09,0,3.098,4998.3925,3,57,Okaloosa,3,4998.39247517049
8756,12000567,17,0,5.043,8115.081,1,12,Lee,1,8115.0810196708
8757,79580000,17,7.213,8.03,1314.8424,5,79,Volusia,5,1314.84237867285
8758,12000218,18,0,0.906,1455.6781,1,12,Lee,1,1455.67812212411
8759,16120000,17,0,1.101,1773.1747,1,16,Polk,1,1773.17465320305
8760,12070001,16,0,0.148,231.4565,1,12,Lee,1,231.456519817461
8761,12000566,17,0,0.802,1290.6602,1,12,Lee,1,1290.66024058905
8762,87000240,19,0,1.074,1724.2908,6,87,Miami-Dade,6,1724.29080315862
8763,93537000,17,0,0.999,1610.198,4,93,Palm Beach,4,1610.19798284262
8764,16050000,14,5.953,10.321,7035.8491,1,16,Polk,1,7035.84906201657
8765,29900002,09,0,1.616,2545.3012,2,29,Columbia,2,2545.30119386197
8766,86000078,18,0,0.788,1268.4148,4,86,Broward,4,1268.41478374644
8767,87000063,17,0,2.8,4536.459,6,87,Miami-Dade,6,4536.45900524952
8768,87000267,19,0.979,1.774,1284.6322,6,87,Miami-Dade,6,1284.63221123282
8769,93578000,16,0,0.5,818.9739,4,93,Palm Beach,4,818.973889877761
8770,86000012,16,0.87,2.867,3214.5343,4,86,Broward,4,3214.53428406112
8771,87000118,17,0,1.035,1666.1521,6,87,Miami-Dade,6,1666.15214502186
8772,16000292,17,1.053,1.378,523.8484,1,16,Polk,1,523.848353858745
8773,87000059,19,0,0.513,822.963,6,87,Miami-Dade,6,822.963024440268
8774,57060000,14,0,6.249,10086.3355,3,57,Okaloosa,3,10086.3355132956
8775,12000582,17,0,1.432,2312.5469,1,12,Lee,1,2312.5468681956
8776,72291000,16,0,11.875,19096.3021,2,72,Duval,2,19096.3020988209
8777,60070000,16,0,0.42,677.795,3,60,Walton,3,677.795005554194
8778,16130000,14,0,3.841,6181.4435,1,16,Polk,1,6181.44352809135
8779,87000187,17,0,1.458,2343.5597,6,87,Miami-Dade,6,2343.55969383064
8780,87000226,19,0,0.559,874.9251,6,87,Miami-Dade,6,874.925138918105
8781,12014000,16,0.495,2.295,2868.6728,1,12,Lee,1,2868.67281138222
8782,16040000,04,0,2.082,3353.9359,1,16,Polk,1,3353.93590503037
8783,29600000,07,2.137,2.143,9.664,2,29,Columbia,2,9.66395738108355
8784,86000074,19,0.452,0.91,736.6341,4,86,Broward,4,736.63412501574
8785,57030000,17,24.315,24.502,301.9037,3,57,Okaloosa,3,301.903711051669
8786,16000607,17,0,5.278,8492.2326,1,16,Polk,1,8492.23258455789
8787,87000104,17,0,1.522,2447.6907,6,87,Miami-Dade,6,2447.69074928328
8788,86000018,19,0,0.986,1583.9429,4,86,Broward,4,1583.94288230323
8789,93900022,19,0,0.585,942.5565,4,93,Palm Beach,4,942.556454766198
8790,93680000,06,0,0.947,1524.0852,4,93,Palm Beach,4,1524.08520963487
8791,12060000,14,5.467,21.307,25494.9993,1,12,Lee,1,25494.9992902846
8792,87000164,17,0,0.5,791.3385,6,87,Miami-Dade,6,791.338520534961
8793,31000007,08,0,3.9,6263.0952,2,31,Gilchrist,2,6263.09523604523
8794,12000617,17,0,1.176,1914.4387,1,12,Lee,1,1914.43874178888
8795,10000789,18,0,0.239,396.5978,7,10,Hillsborough,7,396.597764099615
8796,29507000,17,3.169,6.878,5970.7712,2,29,Columbia,2,5970.77124027932
8797,16310000,14,0,1.809,2914.6573,1,16,Polk,1,2914.65733916143
8798,87000074,17,0,1.776,2873.7066,6,87,Miami-Dade,6,2873.70663540834
8799,93900015,19,0,0.315,504.4492,4,93,Palm Beach,4,504.449208540783
8800,87000222,19,0,0.61,981.8394,6,87,Miami-Dade,6,981.839359092488
8801,30540000,07,0,6.568,10574.2349,2,30,Dixie,2,10574.2348640385
8802,10000706,18,0,0.604,972.5562,7,10,Hillsborough,7,972.556189214475
8803,87000137,16,0,2.065,3340.4532,6,87,Miami-Dade,6,3340.45315157823
8804,16000314,19,0,0.364,596.8119,1,16,Polk,1,596.811898994759
8805,57110028,16,0,1.833,2963.4303,3,57,Okaloosa,3,2963.43029515211
8806,29900019,19,0,0.5,799.2094,2,29,Columbia,2,799.209439810247
8807,10000742,18,0,1.512,2450.0036,7,10,Hillsborough,7,2450.00364056625
