FID,RDWYID,SIDE,VALUE_,EFFDATE,CNTLRDES,MAINTAGC,SDESTRET,SIGNALID,SIGNALNC,SIGSTRCT,TYPECABL,SEC_STAT,BEGPT,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,x,y
3441,75060000,C,02,25-NOV-1985,SR 50(COLONIAL DR),ORANGE COUNTY,CHICKASAW TR,75289,N/A,01,N/A,ON,7.445,5,75,Orange,5,472824.365100001,3160181.3734
3442,87220000,C,02,N/A,N/A,MIAMI-DADE,NW 5300 BLOCK,3234,N/A,03,02,ON,2.491,6,87,Miami-Dade,6,571781.204,2854586.8058
3443,03010000,C,02,N/A,US 41/TAMIAMI TRAIL,COLLIER,PELICAN BAY BLVD S,80,N/A,01,N/A,ON,6.798,1,03,Collier,1,420021.8341,2900063.9449
3444,72290000,C,N/A,29-MAY-1981,N/A,N/A,N/A,N/A,02,N/A,N/A,ON,0,2,72,Duval,2,436984.156600001,3366329.7505
3445,72050000,C,02,01-MAR-1987,N/A,JACKSONVILLE,STOCKTON ST,N/A,N/A,03,N/A,ON,5.826,2,72,Duval,2,433905.978300001,3353302.4685
3446,60050000,C,02,N/A,N/A,CITY OF DEFUNIAK,US 331 LOWES,009,N/A,01,N/A,ON,14.347,3,60,Walton,3,9128.42640000116,3407205.1404
3447,72270187,C,02,25-JUN-2002,N/A,JACKSONVILLE,RAMP TO CHAFFEE RD,N/A,N/A,01,N/A,EXCLUSIVE,0.247,2,72,Duval,2,418389.9284,3353494.0425
3448,75050000,C,02,04-JAN-1994,SR 50(COLONIAL DR),ORANGE COUNTY,SR 91 NB RAMPS,75230,N/A,03,02,ON,1.233,5,75,Orange,5,437615.651100001,3158226.3413
3449,12020000,C,02,10-NOV-1977,SR 80/PALM BEACH BLV,LEE,UNDERWOOD DR,325,N/A,03,02,ON,5.002,1,12,Lee,1,419783.775200001,2951224.247
3450,12011000,C,02,N/A,SR 739 / METRO PKWY,LEE,WINKLER AVE,311,N/A,01,N/A,ON,8.31,1,12,Lee,1,415322.561300001,2942876.9857
3451,60020000,C,N/A,N/A,N/A,WALTON CO,CR 83 OLD BLUE MTN,044,N/A,01,N/A,ON,12.144,3,60,Walton,3,418.462300001644,3371185.9741
3452,87281000,C,05,N/A,N/A,MIAMI-DADE,N/A,4961,N/A,01,N/A,ON,10.202,6,87,Miami-Dade,6,573443.552700001,2861968.4468
3453,70100000,C,02,01-JAN-1950,SR 520(MERRIT IS CY),BREVARD COUNTY,MERRITT SQ MALL ENT,70206,N/A,01,N/A,ON,11.462,5,70,Brevard,5,530599.157400002,3136800.6831
3454,55060000,C,02,N/A,N/A,CITY OF TALLAHASSEE,CALLARK STREET,113,N/A,01,N/A,ON,6.641,3,55,Leon,3,182127.469900001,3373196.2179
3455,17075022,C,N/A,N/A,SR 93 / NB OFF RAMP,SARASOTA,SR 758/BEE RIDGE RD,850,02,03,02,EXCLUSIVE,0.374,1,17,Sarasota,1,357017.870700002,3020341.689
3456,10040000,C,02,10-JUN-1983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ON,1.423,7,10,Hillsborough,7,357266.936,3094816.2457
3457,09030000,C,02,N/A,SR 25/SR 700/US 27/U,HIGHLANDS,SACHSENMAIER/COLLEGE,204,N/A,03,02,ON,12.457,1,09,Highlands,1,449236.887200002,3049679.0919
