FID,ROADWAY,ACCESS_CLA,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Length
1345,34030000,04,2,34,Levy,2,0,20.224,32584.7016,32584.7016075025
1346,75008000,01,5,75,Orange,5,0.44,11.822,18293.8287,18293.8286972216
1347,93006000,05,4,93,Palm Beach,4,0,2.078,3339.7143,3339.71427927082
1348,48205000,06,3,48,Escambia,3,8.363,10.031,2694.8733,2694.87334640742
1349,26030000,06,2,26,Alachua,2,3.174,4.814,2637.9982,2637.99823384197
1350,10470000,01,7,10,Hillsborough,8,0.741,16.052,24660.0294,24660.0293743189
1351,72250000,04,2,72,Duval,2,8.331,15.061,10815.7237,10815.7237218826
1352,75120003,05,5,75,Orange,5,0,0.152,250.3028,250.302786847574
1353,53040000,04,3,53,Jackson,3,0,7.909,12746.3456,12746.3456128987
1354,77070000,03,5,77,Seminole,5,0,2.543,4113.6488,4113.6488075684
1355,87055000,05,6,87,Miami-Dade,6,0,0.905,1455.9714,1455.97143814747
1356,89060000,05,4,89,Martin,4,0,31.448,50605.7805,50605.7804670196
1357,90040000,05,6,90,Monroe,6,2.888,6.491,5816.3779,5816.37790503812
1358,55020000,04,3,55,Leon,3,7.567,15.635,12990.9633,12990.9632921432
1359,93120000,03,4,93,Palm Beach,4,0.228,20.313,32261.7603,32261.7603133577
1360,87090000,04,6,87,Miami-Dade,6,10.224,13.546,5350.7557,5350.7557125217
1361,61010000,04,3,61,Washington,3,18.995,22.914,6330.8214,6330.82135057116
1362,26110000,06,2,26,Alachua,2,6.851,7.122,436.5978,436.59783269496
1363,10030102,05,7,10,Hillsborough,7,0,1.755,2825.6667,2825.66666769818
1364,72291000,06,2,72,Duval,2,0,3.244,5216.6513,5216.65131483223
1365,76050000,03,2,76,Putnam,2,7.111,10.223,5006.4294,5006.42943930312
1366,57040026,03,3,57,Okaloosa,3,0,0.899,1465.1627,1465.16271472071
1367,79220002,06,5,79,Volusia,5,0,0.997,1607.9814,1607.98144715285
1368,16470000,01,1,16,Polk,8,0,24.38,39226.5286,39226.5286448697
1369,60030000,03,3,60,Walton,3,15.357,18.372,4866.5311,4866.53106289875
1370,48050000,06,3,48,Escambia,3,19.852,23.676,6181.9401,6181.94012633517
1371,26004000,06,2,26,Alachua,2,0.931,1.238,494.8228,494.822835997172
1372,75320000,01,5,75,Orange,5,18,36.536,29838.411,29838.410962435
1373,71130000,05,2,71,Clay,2,1.044,2.781,2800.5492,2800.54916963583
1374,87038000,07,6,87,Miami-Dade,6,7.692,9.7,3237.3071,3237.30711027575
1375,16160201,04,1,16,Polk,1,0,0.667,1071.3332,1071.33323615066
1376,72018000,05,2,72,Duval,2,5.737,5.998,420.547,420.546965670067
1377,79001000,03,5,79,Volusia,5,0,2.194,3529.5059,3529.5058980212
1378,93040000,03,4,93,Palm Beach,4,2.305,11.127,14197.4961,14197.4960963745
1379,03050000,02,1,03,Collier,1,0,7.058,11338.2668,11338.2667650843
1380,72190100,06,2,72,Duval,2,0,0.191,306.2443,306.24434546868
1381,58050000,04,3,58,Santa Rosa,3,6.461,27.365,33779.2867,33779.286703184
1382,93190000,03,4,93,Palm Beach,4,12.081,16.062,6408.4053,6408.40531580432
1383,10030000,07,7,10,Hillsborough,7,0,3.522,5664.614,5664.61399319887
1384,12014000,07,1,12,Lee,1,2.295,4,2717.3026,2717.30258485449
1385,17070000,06,1,17,Sarasota,1,0,2.312,3715.6783,3715.67833663764
1386,75012000,05,5,75,Orange,5,0,2.639,4243.3652,4243.36521056789
1387,86220000,05,4,86,Broward,4,21.003,21.006,4.8286,4.82863859807513
1388,27090000,01,2,27,Baker,2,0,25.462,40930.2462,40930.2461675564
1389,75301000,01,5,75,Orange,5,0,20.017,32179.247,32179.2470101052
1390,79070002,07,5,79,Volusia,5,0,0.142,228.8857,228.885736087661
1391,16090000,04,1,16,Polk,1,0,4.202,6762.3539,6762.35386007678
1392,29002000,06,2,29,Columbia,2,0,3.471,5591.183,5591.18298930159
1393,16100000,07,1,16,Polk,1,3.739,4.743,1624.2265,1624.22654337003
1394,16250000,04,1,16,Polk,1,0,16.968,27307.3775,27307.3775204652
1395,35060000,06,2,35,Madison,2,5.786,6.966,1899.3532,1899.35323096221
1396,93020001,07,4,93,Palm Beach,4,1.238,2.356,1794.1597,1794.15967471966
1397,47040000,04,3,47,Calhoun,3,15.795,25.062,14950.7405,14950.7404808318
1398,26050065,06,2,26,Alachua,2,0,0.645,1036.1552,1036.15519862391
1399,72100000,06,2,72,Duval,2,3.199,6.167,4780.4568,4780.4567903739
1400,70080000,05,5,70,Brevard,5,0,2.11,3399.2365,3399.23652172914
1401,12005000,04,1,12,Lee,1,20.194,26.23,9709.6444,9709.64441149727
1402,53070000,06,3,53,Jackson,3,1.323,2.471,1849.9264,1849.92644988625
1403,87000652,07,6,87,Miami-Dade,6,0,0.09,140.3399,140.339895184798
1404,87020000,05,6,87,Miami-Dade,6,0,13.982,22518.5321,22518.5321183326
1405,53010000,04,3,53,Jackson,3,0,4.728,7618.2328,7618.23283414745
1406,77010000,03,5,77,Seminole,5,16.77,16.929,256.3841,256.384138418716
1407,87062000,06,6,87,Miami-Dade,6,0,0.217,348.7359,348.735860465802
1408,90020000,06,6,90,Monroe,6,24.894,26.548,2657.1694,2657.1693790948
1409,05020000,06,1,05,Glades,1,9.482,15.896,10316.3734,10316.3734157945
1410,16020000,07,1,16,Polk,1,2.249,2.369,193.2482,193.248183870143
1411,55190000,06,3,55,Leon,3,0.072,1.78,2749.2501,2749.25012091032
1412,87140352,07,6,87,Miami-Dade,6,0,0.358,575.4993,575.499279853182
1413,08040000,03,7,08,Hernando,7,0,9.871,15871.7533,15871.7532851585
1414,26070168,07,2,26,Alachua,2,0,0.043,69.5924,69.5924186394557
1415,70060000,03,5,70,Brevard,5,27.154,30.296,5058.5119,5058.51189019527
1416,13160000,05,1,13,Manatee,1,0,3.445,5548.1308,5548.13082239973
1417,57040000,06,3,57,Okaloosa,3,0.03,4.712,7560.915,7560.91499922327
1418,34040000,06,2,34,Levy,2,11.527,11.823,477.1149,477.114920205188
1419,75003000,03,5,75,Orange,5,0,2.048,3295.5358,3295.53584928502
1420,93001000,03,4,93,Palm Beach,4,0,6.758,10875.6209,10875.6208781821
1421,48205000,04,3,48,Escambia,3,2.584,8.363,9336.485,9336.48501134193
1422,26020000,05,2,26,Alachua,2,0,1.256,2024.003,2024.00295737512
1423,70070000,03,5,70,Brevard,5,1.514,1.836,518.0383,518.03830992644
1424,13010000,07,1,13,Manatee,1,5.284,7.552,3671.2472,3671.24715883601
1425,71110000,04,2,71,Clay,2,0,0.833,1340.4743,1340.47429379865
1426,87038000,05,6,87,Miami-Dade,6,1.156,7.692,10537.4466,10537.4465665666
1427,33010000,06,2,33,Lafayette,2,12.914,14.33,2279.3877,2279.38774076953
1428,55050000,07,3,55,Leon,3,0,0.364,585.8251,585.825064078788
1429,93110001,03,4,93,Palm Beach,4,0,18.181,29258.7069,29258.7068758772
1430,03010000,03,1,03,Collier,1,4.542,7.244,4346.6602,4346.66016621036
1431,61010000,04,3,61,Washington,3,0.564,0.71,235.8702,235.870184472343
1432,72160000,05,2,72,Duval,2,9.7,12.085,3836.6674,3836.66741827196
1433,10060001,07,7,10,Hillsborough,7,0,0.367,601.9828,601.982751858154
1434,12040000,06,1,12,Lee,1,2.671,6.485,6125.0329,6125.03292501137
1435,09040000,07,1,09,Highlands,1,0.491,1.095,973.2389,973.238871021611
1436,18130000,01,5,18,Sumter,5,0,28.996,46630.8051,46630.8050824232
1437,79190007,05,5,79,Volusia,5,0,0.14,223.7157,223.715734055053
1438,75020000,06,5,75,Orange,5,0,0.798,1284.2354,1284.23536883205
1439,60040000,03,3,60,Walton,3,0,14.695,23695.8359,23695.8359226189
1440,48060000,03,3,48,Escambia,3,0,16.694,26982.8193,26982.8192716951
1441,28030001,06,2,28,Bradford,2,7.756,9.184,2298.4843,2298.48430077617
1442,75270000,05,5,75,Orange,5,0,7.101,11489.4359,11489.4358806539
1443,70120000,03,5,70,Brevard,5,5.715,7.333,2604.3768,2604.37677379885
1444,29080000,04,2,29,Columbia,2,0,1.473,2370.5519,2370.55192406326
1445,16130000,04,1,16,Polk,1,1.137,2.892,2824.3927,2824.39266415362
1446,89010000,05,4,89,Martin,4,20.88,21.036,251.1546,251.154559536182
1447,93010000,05,4,93,Palm Beach,4,10.777,17.37,10610.4394,10610.4393782853
1448,72160000,06,2,72,Duval,2,13.957,14.278,516.4381,516.438134937628
1449,91020000,07,1,91,Okeechobee,1,3.134,3.274,225.3023,225.302270568191
1450,72110000,06,2,72,Duval,2,0,0.218,350.9353,350.935289598419
1451,70471000,01,5,70,Brevard,8,0,4.446,7158.3429,7158.34290191272
1452,13050101,06,1,13,Manatee,1,0.189,0.955,1229.6513,1229.65125231613
1453,58040000,03,3,58,Santa Rosa,3,0.219,19.769,31580.375,31580.3749755659
1454,47020000,06,3,47,Calhoun,3,19.949,22.6,4273.9894,4273.98941955133
1455,26050000,05,2,26,Alachua,2,1.568,3.365,2890.1696,2890.16963370224
1456,10140000,03,7,10,Hillsborough,7,7.58,9.371,2884.7578,2884.75780645064
1457,12010000,07,1,12,Lee,1,20.496,23.252,4436.5929,4436.59290089596
1458,53070000,04,3,53,Jackson,3,8.231,22.218,22540.4634,22540.4634112444
1459,01060000,07,1,01,Charlotte,1,9.156,9.23,119.401,119.401014610553
1460,75230000,04,5,75,Orange,5,6.752,7.151,642.2505,642.25047464504
1461,52030000,06,3,52,Holmes,3,1.236,4.07,4569.7687,4569.7687191138
1462,09110000,04,1,09,Highlands,1,3.261,24.521,34200.4397,34200.4397282917
1463,87080000,07,6,87,Miami-Dade,6,2.678,4.175,2409.558,2409.5579884713
1464,87281000,05,6,87,Miami-Dade,6,8.185,10.707,4053.3141,4053.31406905982
1465,02030000,03,7,02,Citrus,7,0,13.524,21772.147,21772.1470295233
1466,55160101,05,3,55,Leon,3,0,0.753,1206.7727,1206.77272620911
1467,87140000,07,6,87,Miami-Dade,6,12.157,14.68,4061.3527,4061.35268031004
1468,76010000,04,2,76,Putnam,2,0,3.926,6312.3538,6312.35384485758
1469,26250000,05,2,26,Alachua,2,0,3.225,5178.872,5178.87201022155
1470,70020000,06,5,70,Brevard,5,0,4.511,7257.027,7257.02699614839
1471,86180000,06,4,86,Broward,4,0.765,2.188,2293.3256,2293.32561831581
1472,57040000,03,3,57,Okaloosa,3,4.712,11.445,10873.2502,10873.2501778974
1473,34110000,06,2,34,Levy,2,18.578,20.14,2512.9559,2512.95592489402
1474,53130000,04,3,53,Jackson,3,8.951,23.04,22703.0477,22703.0476627496
1475,60060000,03,3,60,Walton,3,0,21.565,34737.3161,34737.3160715485
1476,48140001,04,3,48,Escambia,3,0,1.44,2315.5932,2315.59321179512
1477,88070000,04,4,88,Indian River,4,0,6.314,10161.5492,10161.5491633101
1478,70070002,03,5,70,Brevard,5,0,0.381,612.6786,612.67855518143
1479,72260000,04,2,72,Duval,2,0,9.453,15205.2831,15205.2831158412
1480,71470000,01,2,71,Clay,8,0,6.244,10042.1221,10042.1220633764
1481,75050000,04,5,75,Orange,5,12.277,15.357,4958.7039,4958.70394337125
1482,89530000,05,4,89,Martin,4,0,1.518,2443.0668,2443.0667713237
1483,55020000,04,3,55,Leon,3,16.265,19.323,4923.9574,4923.95737315561
1484,93110000,05,4,93,Palm Beach,4,0,0.428,688.8046,688.804609237525
1485,03030001,05,1,03,Collier,1,16.205,16.843,1026.1205,1026.12046218383
1486,58080000,04,3,58,Santa Rosa,3,6.033,29.102,37282.7897,37282.7896692598
1487,93180000,07,4,93,Palm Beach,4,8.675,10.313,2641.0038,2641.00377206255
1488,90060115,07,6,90,Monroe,6,0,0.219,352.6683,352.668304336572
1489,13121000,03,1,13,Manatee,1,5.332,7.908,4152.7128,4152.71275876508
1490,77120000,05,5,77,Seminole,5,9.04,11.282,3609.0166,3609.0166422661
1491,17050000,03,1,17,Sarasota,1,5.89,6.926,1671.2177,1671.21772987753
1492,79180000,03,5,79,Volusia,5,0,1.085,1746.0159,1746.0159083338
1493,75030101,07,5,75,Orange,5,0,0.183,301.6864,301.686400846246
1494,78051000,05,2,78,St. Johns,2,0.767,1.221,730.4036,730.403559066287
1495,48013001,06,3,48,Escambia,3,19.439,20.015,937.0346,937.034643769581
1496,28060000,06,2,28,Bradford,2,0.455,0.657,324.3055,324.305476574005
1497,75251000,03,5,75,Orange,5,0,2.165,3451.1308,3451.1307536626
1498,70180000,03,5,70,Brevard,5,2.48,6.742,6858.584,6858.58398538027
1499,16090000,06,1,16,Polk,1,18.624,20.232,2587.7639,2587.76389586432
1500,78070000,04,2,78,St. Johns,2,0,16.311,26233.3909,26233.3909265123
1501,16118000,05,1,16,Polk,1,8.946,9.392,711.6905,711.690488401533
1502,89030000,07,4,89,Martin,4,20.681,21.58,1447.467,1447.46698996008
1503,72090154,01,2,72,Duval,2,0,0.586,943.2245,943.22447387544
1504,48280000,06,3,48,Escambia,3,3.616,6.067,3945.7018,3945.70181256471
1505,91020000,07,1,91,Okeechobee,1,2.603,3.134,854.6551,854.655108545427
1506,72100001,06,2,72,Duval,2,0,0.396,635.0425,635.042473029662
1507,10130000,03,7,10,Hillsborough,7,2.96,3.748,1269.7839,1269.78390089272
1508,12010000,03,1,12,Lee,1,25.623,33.341,12424.3885,12424.3885354542
1509,87010000,02,6,87,Miami-Dade,6,0,13.947,22429.6604,22429.6604045727
1510,18060000,04,5,18,Sumter,5,8.085,8.635,885.1005,885.100458677367
1511,87021011,01,6,87,Miami-Dade,6,0,0.419,677.8227,677.82268170948
1512,46160000,05,3,46,Bay,3,0.303,13.937,21980.0947,21980.0947373146
1513,27030000,04,2,27,Baker,2,0,9.18,14766.3441,14766.3440829884
1514,06010000,05,1,06,Hardee,1,15.292,15.556,424.9824,424.982384282481
1515,79060066,01,5,79,Volusia,5,0,0.98,1574.722,1574.72196214275
1516,02050000,06,7,02,Citrus,7,0,0.99,1593.9152,1593.91519338011
1517,75250002,03,5,75,Orange,5,0.928,1.013,136.7561,136.756134466584
1518,75080101,06,5,75,Orange,5,1.566,2.19,1001.6326,1001.63256838589
1519,16060000,05,1,16,Polk,1,4.314,4.912,962.2509,962.250864729147
1520,76050000,05,2,76,Putnam,2,10.223,15.896,9126.1755,9126.17553960651
1521,78030000,06,2,78,St. Johns,2,0.038,0.803,1231.2224,1231.22237136488
1522,86110000,05,4,86,Broward,4,6.245,8.161,3083.415,3083.41495800744
1523,16180000,03,1,16,Polk,1,0,8.174,13170.1816,13170.1815627049
1524,57080000,04,3,57,Okaloosa,3,8.514,12.709,6774.8834,6774.88344508348
1525,35070000,06,2,35,Madison,2,16.057,16.457,644.0675,644.067494633766
1526,93280000,06,4,93,Palm Beach,4,8.614,9.393,1253.7298,1253.72979069457
1527,48130000,04,3,48,Escambia,3,0,0.61,981.6002,981.600186638594
1528,52002000,01,3,52,Holmes,3,14.195,21.276,11409.7782,11409.7782452427
1529,26020000,05,2,26,Alachua,2,23.476,26.238,4450.6413,4450.64134540227
1530,10110000,07,7,10,Hillsborough,7,0,2.101,3384.1454,3384.14544079327
1531,72240000,04,2,72,Duval,2,0,2.85,4590.0149,4590.01486918061
1532,53090000,06,3,53,Jackson,3,13.015,14.824,2911.4412,2911.44119504754
1533,01040201,05,1,01,Charlotte,1,0,1.673,2692.7702,2692.7701840189
1534,75220000,03,5,75,Orange,5,0,1.726,2786.5597,2786.55968384316
1535,53020000,04,3,53,Jackson,3,15.535,18.819,5292.3907,5292.39069392655
1536,78090000,03,2,78,St. Johns,2,0,8.507,13690.6989,13690.6989074425
1537,87062000,05,6,87,Miami-Dade,6,5.064,5.598,858.2984,858.298443809777
1538,87471000,01,6,87,Miami-Dade,8,0.284,40.15,64234.6742,64234.6742011409
1539,55100000,05,3,55,Leon,3,0.95,1.998,1686.1703,1686.17030867735
1540,93130000,06,4,93,Palm Beach,4,9.358,12.774,5497.3502,5497.35023012544
1541,87150000,06,6,87,Miami-Dade,6,0,2.813,4525.7764,4525.77638214327
1542,76010000,03,2,76,Putnam,2,19.818,26.6,10904.3431,10904.3430712833
1543,26070000,05,2,26,Alachua,2,13.382,17.139,6047.241,6047.24102064725
1544,10060000,07,7,10,Hillsborough,7,26.878,27.604,1167.3176,1167.31761054837
1545,13130401,05,1,13,Manatee,1,0,0.403,648.9698,648.96980806815
1546,48008000,06,3,48,Escambia,3,0,0.582,939.6381,939.638088338834
1547,27030000,07,2,27,Baker,2,9.18,10.813,2626.7555,2626.75548117649
1548,05010000,03,1,05,Glades,1,6.214,28.938,36587.5295,36587.5294755347
1549,79120000,05,5,79,Volusia,5,0,3.753,6039.5748,6039.574829984
1550,16010101,07,1,16,Polk,1,0,0.947,1538.5366,1538.53663524788
1551,56010000,06,3,56,Liberty,3,0.64,1.908,2042.8966,2042.89662955449
1552,16030201,07,1,16,Polk,1,0,0.497,796.6451,796.645139274706
1553,76050000,03,2,76,Putnam,2,0,5.929,9538.0568,9538.05684950725
1554,26260000,01,2,26,Alachua,2,0,35.19,56605.9881,56605.9881469413
1555,16280000,05,1,16,Polk,1,6.278,6.338,96.5197,96.5196845002005
1556,57110028,05,3,57,Okaloosa,3,0,1.833,2963.4303,2963.43029515211
1557,30050000,04,2,30,Dixie,2,0,1.518,2436.5612,2436.56118844052
1558,93310000,05,4,93,Palm Beach,4,20.543,22.01,2359.0683,2359.0682712022
1559,72003064,06,2,72,Duval,2,0,1.181,1917.9953,1917.99527142056
1560,26070000,03,2,26,Alachua,2,3.629,13.382,15698.6285,15698.6285237055
1561,10140000,03,7,10,Hillsborough,7,0,6.007,9675.5233,9675.52329842649
1562,12001101,03,1,12,Lee,1,0.69,2.29,2574.7415,2574.74152674461
1563,87005000,01,6,87,Miami-Dade,6,0,7.01,11299.8626,11299.8625562082
1564,01040101,06,1,01,Charlotte,1,0,1.668,2657.2609,2657.26094479857
1565,75190002,03,5,75,Orange,5,37.824,40,3501.4933,3501.49330407546
1566,52040000,04,3,52,Holmes,3,0,21.576,34781.5923,34781.5923006084
1567,77070000,03,5,77,Seminole,5,5.538,7.889,3803.071,3803.07095762432
1568,87080000,06,6,87,Miami-Dade,6,0,0.662,1065.5377,1065.5377006215
1569,90060000,05,6,90,Monroe,6,17.622,18.206,939.8044,939.804383792773
1570,55090002,06,3,55,Leon,3,0.622,1.145,850.2522,850.252168995431
1571,93150000,05,4,93,Palm Beach,4,0,7.021,11299.4219,11299.4218575243
1572,10130000,07,7,10,Hillsborough,7,3.748,10.033,10128.1359,10128.1358851218
1573,12005000,05,1,12,Lee,1,1.171,2.49,2121.785,2121.78495716352
1574,15240000,03,7,15,Pinellas,7,0,1.842,2969.5965,2969.59650034376
1575,07030000,05,1,07,Hendry,1,3.518,4.192,1084.4986,1084.49864754275
1576,02010000,05,7,02,Citrus,7,5.994,12.198,9976.519,9976.51898402158
1577,87030000,05,6,87,Miami-Dade,6,20.866,25.402,7300.4739,7300.47388009846
1578,86130000,05,4,86,Broward,4,5.421,7.87,3947.5879,3947.58790251652
1579,27010000,06,2,27,Baker,2,1.514,2.27,1216.3063,1216.30627037046
1580,18010000,04,5,18,Sumter,5,24.526,30.255,9223.763,9223.7630182035
1581,06050000,03,1,06,Hardee,1,17.285,23.867,10589.9448,10589.9448256135
1582,79110000,01,5,79,Volusia,5,0,27.217,43800.8218,43800.8217935927
1583,02030000,03,7,02,Citrus,7,15.476,25.107,15504.753,15504.7529676589
1584,55100001,07,3,55,Leon,3,0,0.506,817.0453,817.045277199865
1585,75080102,07,5,75,Orange,5,0,0.721,1159.3796,1159.37958248569
1586,76010000,06,2,76,Putnam,2,11.403,12.488,1744.4713,1744.47125199748
1587,78010027,06,2,78,St. Johns,2,0.25,0.471,355.3878,355.38779681328
1588,70050001,07,5,70,Brevard,5,0,0.228,363.9419,363.941857668118
1589,86100000,05,4,86,Broward,4,8.512,20.423,19169.1505,19169.1505219839
1590,16280000,06,1,16,Polk,1,0.38,2.476,3371.847,3371.84699835224
1591,57160000,01,3,57,Okaloosa,3,0,10.774,17339.0447,17339.0446874493
1592,30010000,06,2,30,Dixie,2,15.334,17.82,4002.1115,4002.11146153688
1593,93280000,03,4,93,Palm Beach,4,0,3.388,5452.4104,5452.41042581953
1594,48080000,05,3,48,Escambia,3,0.96,4.704,6044.2095,6044.20950625742
1595,26060000,03,2,26,Alachua,2,0,10.044,16158.6706,16158.6705705489
1596,10090000,05,7,10,Hillsborough,7,3.99,14.767,17277.9163,17277.916263454
1597,72220000,03,2,72,Duval,2,0.32,3.4,4950.7264,4950.72643629313
1598,01030000,04,1,01,Charlotte,1,0,18.337,29485.4209,29485.4209220353
1599,75200000,03,5,75,Orange,5,0.491,8.94,13596.2815,13596.2814725563
1600,53050000,06,3,53,Jackson,3,14.421,15.67,2013.2258,2013.22583721812
1601,09040000,07,1,09,Highlands,1,10.13,11.16,1659.4404,1659.44042252083
1602,87075703,07,6,87,Miami-Dade,6,0,0.913,1467.2995,1467.29954807766
1603,90003000,04,6,90,Monroe,6,0,2.895,4673.7767,4673.77666687855
1604,04020102,03,1,04,Desoto,1,0,6.971,11237.5226,11237.5226087042
1605,93130000,06,4,93,Palm Beach,4,0,0.501,806.2759,806.275871827177
1606,87160000,04,6,87,Miami-Dade,6,0,7.584,12180.1915,12180.1914504963
1607,61001000,01,3,61,Washington,3,12.906,23.963,17828.0634,17828.0634387337
1608,26130000,04,2,26,Alachua,2,6.224,11.045,7761.6264,7761.62644482176
1609,10060000,07,7,10,Hillsborough,7,22.393,26.565,6708.3496,6708.34964276959
1610,12020101,07,1,12,Lee,1,0,0.419,675.1792,675.179189505448
1611,76110000,04,2,76,Putnam,2,0,19.57,31516.8896,31516.8895520954
1612,57050000,06,3,57,Okaloosa,3,17.394,18.391,1609.9279,1609.92792483715
1613,79190006,05,5,79,Volusia,5,0,1.03,1654.2973,1654.29730781895
1614,53120000,06,3,53,Jackson,3,16.142,16.786,1036.8453,1036.84533699324
1615,29180000,01,2,29,Columbia,2,0,30.447,48996.4118,48996.4117951693
1616,48020000,05,3,48,Escambia,3,11.244,11.643,645.4995,645.49947771824
1617,88060000,05,4,88,Indian River,4,29.588,30.868,2059.8923,2059.8923046199
1618,87260600,07,6,87,Miami-Dade,6,0,1.007,1591.5348,1591.53479504622
1619,71110000,06,2,71,Clay,2,5.728,7.323,2566.7346,2566.7345791382
1620,87053000,07,6,87,Miami-Dade,6,8.155,8.68,845.9102,845.910197711039
1621,32050000,04,2,32,Hamilton,2,0,13.452,21661.0498,21661.04975837
1622,93080000,04,4,93,Palm Beach,4,3.698,6.207,4026.0877,4026.087735348
1623,03010000,03,1,03,Collier,1,15.797,23.134,11802.8847,11802.8846516213
1624,58060000,04,3,58,Santa Rosa,3,0,20.715,33483.9418,33483.9417809642
1625,72140002,03,2,72,Duval,2,0,0.426,677.0354,677.035394352899
1626,70471000,04,5,70,Brevard,8,4.446,6.788,3771.3588,3771.35879865985
1627,13050102,06,1,13,Manatee,1,0.258,0.372,184.194,184.194012335403
1628,17005000,01,1,17,Sarasota,1,0,4.142,6613.217,6613.21702780544
1629,75011001,03,5,75,Orange,5,38.442,40,2609.4874,2609.4874321431
1630,48010000,04,3,48,Escambia,3,0,2.128,3441.0378,3441.03784699379
1631,28090000,04,2,28,Bradford,2,0,3.56,5740.6985,5740.69846683861
1632,57060000,05,3,57,Okaloosa,3,14.907,17.877,4793.7586,4793.75859729833
1633,34030101,04,2,34,Levy,2,0,0.067,107.3311,107.331117749547
1634,54030000,03,3,54,Jefferson,3,10.517,18.076,12168.3902,12168.3902310909
1635,60050000,03,3,60,Walton,3,4.891,16.104,18101.2099,18101.2099317826
1636,48013002,05,3,48,Escambia,3,1.324,2.985,2686.3309,2686.3308919452
1637,88060000,07,4,88,Indian River,4,30.868,31.34,759.6843,759.684338107982
1638,79040000,06,5,79,Volusia,5,2.719,3.749,1657.8164,1657.81642569314
1639,87053003,07,6,87,Miami-Dade,6,0,1.807,2906.7081,2906.70805371399
1640,89030000,07,4,89,Martin,4,26.655,28.552,3054.3134,3054.31338667065
1641,55020000,07,3,55,Leon,3,0,0.215,346.1798,346.179818583427
1642,93090000,03,4,93,Palm Beach,4,1.247,9.712,13623.0092,13623.0091812868
1643,03030000,07,1,03,Collier,1,0,2.6,4189.7051,4189.70509662922
1644,61010000,06,3,61,Washington,3,16.357,18.995,4261.4937,4261.4937408827
1645,93210000,03,4,93,Palm Beach,4,0,24.25,39025.8367,39025.8367455827
1646,10010000,05,7,10,Hillsborough,7,15.693,24.8,14651.5049,14651.5049483929
1647,13050002,05,1,13,Manatee,1,0.317,0.576,417.2889,417.288890582669
1648,76080000,04,2,76,Putnam,2,0.969,5.702,7616.5068,7616.50684436398
1649,17030000,06,1,17,Sarasota,1,2.74,3.17,692.7221,692.722076300545
1650,79270000,04,5,79,Volusia,5,0,3.377,5433.2312,5433.23119767348
1651,75040000,07,5,75,Orange,5,14.819,17.387,4133.0276,4133.02756842262
1652,86471000,01,4,86,Broward,8,0,7.706,12349.2902,12349.290197368
1653,88470000,01,4,88,Indian River,8,15.464,17.452,3184.771,3184.77097006129
1654,87260527,07,6,87,Miami-Dade,6,0,1.008,1590.236,1590.23595690378
1655,70160000,06,5,70,Brevard,5,4.773,5.422,1046.2534,1046.25336657661
1656,16030000,05,1,16,Polk,1,24.929,27.76,4561.4603,4561.46030023405
1657,29030002,07,2,29,Columbia,2,0,0.924,1494.0784,1494.07842889946
1658,16110000,05,1,16,Polk,1,30.393,30.632,384.5113,384.511280944504
1659,35030000,02,2,35,Madison,2,0,5.794,9329.1008,9329.10075962962
1660,93010000,06,4,93,Palm Beach,4,17.37,18.774,2259.5693,2259.56934676821
1661,47010000,04,3,47,Calhoun,3,22.2,24.63,3916.0627,3916.06265331952
1662,26020000,03,2,26,Alachua,2,6.071,17.004,17617.5505,17617.5505348623
1663,72120000,07,2,72,Duval,2,21.241,22.742,2418.4456,2418.44558101486
1664,70100000,05,5,70,Brevard,5,7.363,8.844,2383.8518,2383.85175975637
1665,12001000,06,1,12,Lee,1,1.3,5.257,6372.2166,6372.2165590683
1666,87001000,03,6,87,Miami-Dade,6,0,0.748,1204.5176,1204.51759819267
1667,17080000,07,1,17,Sarasota,1,0,1.238,1998.3386,1998.33857887041
1668,01040000,05,1,01,Charlotte,1,2.332,6.425,6591.509,6591.5089833105
1669,87026000,05,6,87,Miami-Dade,6,0,9.311,14994.1901,14994.1901144138
1670,53050000,03,3,53,Jackson,3,15.67,18.365,4343.9056,4343.90555300083
1671,72295000,06,2,72,Duval,2,0,0.84,1326.4439,1326.4439151099
1672,27010000,04,2,27,Baker,2,21.509,25.448,6337.4243,6337.42429150263
1673,87085000,05,6,87,Miami-Dade,6,2.255,3.475,1963.3772,1963.3772432589
1674,17120000,05,1,17,Sarasota,1,1.644,4.184,4053.785,4053.78500012695
1675,06010000,03,1,06,Hardee,1,11.165,11.753,946.8043,946.804277239026
1676,79070000,05,5,79,Volusia,5,26.987,29.23,3601.03,3601.03000530242
1677,16004000,05,1,16,Polk,1,0.449,2.583,3420.4227,3420.42271445783
1678,55120000,03,3,55,Leon,3,3.58,7.089,5649.9626,5649.96258251626
1679,75080103,07,5,75,Orange,5,0,0.529,849.9929,849.992899781341
1680,08030000,04,7,08,Hernando,7,0,6.667,10738.3645,10738.3645417484
1681,29020000,06,2,29,Columbia,2,4.207,4.821,988.0628,988.062815962077
1682,70030000,03,5,70,Brevard,5,4.117,17.528,21580.7027,21580.7027225458
1683,86100000,06,4,86,Broward,4,0,5.09,8191.6328,8191.63281498169
1684,16250000,06,1,16,Polk,1,25.767,27.428,2673.0628,2673.06278943903
