FID,ROADWAY,ACCESS_CLA,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Length
325,26020000,06,2,26,Alachua,2,2.404,6.071,5908.9225,5908.92253722623
326,10340000,05,7,10,Hillsborough,7,8.084,12.267,6731.5861,6731.58605408645
327,72250451,06,2,72,Duval,2,0,0.328,511.5458,511.545837993862
328,79030000,06,5,79,Volusia,5,3.162,5.864,4343.6097,4343.60969093314
329,87044000,05,6,87,Miami-Dade,6,3.144,7.607,7160.1456,7160.14561412465
330,33030000,04,2,33,Lafayette,2,0,8.724,14039.485,14039.4849923182
331,04040000,05,1,04,Desoto,1,11.892,12.604,1146.2778,1146.2778293935
332,93030000,07,4,93,Palm Beach,4,7.514,8.27,1218.5916,1218.59157179898
333,04020000,05,1,04,Desoto,1,9.558,14.036,7198.0633,7198.06329015538
334,61040000,03,3,61,Washington,3,19.992,28.671,13996.8254,13996.8254333281
335,72160000,06,2,72,Duval,2,5.194,9.7,7248.7941,7248.7940607279
336,10040000,07,7,10,Hillsborough,7,0,10.075,16208.1605,16208.1605293146
337,12060000,03,1,12,Lee,1,19.01,21.415,3872.955,3872.95499761505
338,09030000,03,1,09,Highlands,1,14.724,18.041,5339.5335,5339.53354220327
339,17040000,05,1,17,Sarasota,1,0.381,1.195,1310.8649,1310.8649358994
340,34010000,03,2,34,Levy,2,23.351,34.123,17347.2772,17347.2772079443
341,75020000,07,5,75,Orange,5,10.804,12.279,2373.7383,2373.73829057629
342,29160000,04,2,29,Columbia,2,0,2.243,3614.0905,3614.09049778153
343,48010000,05,3,48,Escambia,3,10.527,15.115,7418.8942,7418.89421381452
344,26005000,04,2,26,Alachua,2,10.634,14.29,5883.3341,5883.33412106369
345,87210000,01,6,87,Miami-Dade,6,0,1.704,2737.6247,2737.62467745224
346,71050000,04,2,71,Clay,2,0,4.364,7018.1164,7018.11641770788
347,29090000,04,2,29,Columbia,2,0,10.881,17511.5974,17511.5973843961
348,16140000,07,1,16,Polk,1,0,4.25,6839.8728,6839.87275467652
349,32010000,04,2,32,Hamilton,2,31.167,32.782,2598.9025,2598.90252205893
350,93012000,06,4,93,Palm Beach,4,2.896,3.682,1257.2427,1257.24271526349
351,72190000,06,2,72,Duval,2,0,3.304,5301.9745,5301.97451306885
352,91070000,05,1,91,Okeechobee,1,7.163,8.318,1860.8702,1860.87016330561
353,72120000,03,2,72,Duval,2,9.869,16.239,10263.2707,10263.2707334869
354,10250000,05,7,10,Hillsborough,7,0,5.064,8144.9765,8144.97651025182
355,13050101,07,1,13,Manatee,1,0.955,1.51,890.9389,890.938868658995
356,18110000,04,5,18,Sumter,5,0,16.727,26914.3786,26914.3785788285
357,87037000,07,6,87,Miami-Dade,6,0,1.54,2477.0525,2477.05248811519
358,48010000,03,3,48,Escambia,3,2.128,2.832,1138.3727,1138.37274763391
359,28010000,03,2,28,Bradford,2,11.916,15.278,5409.3954,5409.3954194503
360,06010000,03,1,06,Hardee,1,20.219,21.5,2062.5568,2062.55683547603
